metric,value
total_rows,155623
messages_non_null,155623
messages_null_pct,0.0
response_non_null,149477
response_null_pct,3.95
reasoning_non_null,11366
reasoning_null_pct,92.7
model_non_null,155623
model_null_pct,0.0
tools_non_null,4537
tools_null_pct,97.08
tool_calls_non_null,9506
tool_calls_null_pct,93.89
rows_with_reasoning,11366
reasoning_pct,7.3
reasoning_len_p25,136.0
reasoning_len_median,646.0
reasoning_len_p75,1845.0
reasoning_len_p95,5008.0
reasoning_len_mean,1439.4
reasoning_len_min,1
reasoning_len_max,118091
n_unique_models,104
rows_with_response,149005
rows_with_both,10961
rows_with_tools,4537
rows_with_tool_calls,9506
