interaction_id,reasoning_n_sentences,reasoning_uncertainty_rate,reasoning_mean_count,response_n_sentences,response_uncertainty_rate,response_mean_count,filtering_ratio,reasoning_epistemic_hedge_rate,response_epistemic_hedge_rate,reasoning_evidential_marker_rate,response_evidential_marker_rate,reasoning_explicit_uncertainty_rate,response_explicit_uncertainty_rate,reasoning_probability_language_rate,response_probability_language_rate,reasoning_modal_hedge_rate,response_modal_hedge_rate,reasoning_approximator_rate,response_approximator_rate
0,18,0.0,0.0,22,0.045454545454545456,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,47,0.02127659574468085,0.02127659574468085,38,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0
2,42,0.07142857142857142,0.07142857142857142,57,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.047619047619047616,0.0,0.0,0.0
3,18,0.05555555555555555,0.05555555555555555,16,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0
4,2,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,23,0.30434782608695654,0.391304347826087,1,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.21739130434782608,0.0,0.0,0.0
6,4,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,8,0.125,0.125,4,0.5,0.5,-3.0,0.125,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
8,11,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,29,0.034482758620689655,0.034482758620689655,31,0.0,0.0,1.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
