n_sentences,n_uncertain_sentences,uncertainty_rate
6,0,0.0
10,0,0.0
1,0,0.0
29,0,0.0
4,0,0.0
3,0,0.0
14,3,0.21428571428571427
4,0,0.0
13,0,0.0
17,3,0.17647058823529413
10,1,0.1
7,0,0.0
6,0,0.0
31,0,0.0
3,0,0.0
31,0,0.0
43,3,0.06976744186046512
12,1,0.08333333333333333
1,0,0.0
2,0,0.0
20,1,0.05
81,3,0.037037037037037035
3,0,0.0
3,0,0.0
2,0,0.0
91,4,0.04395604395604396
8,0,0.0
2,0,0.0
131,13,0.09923664122137404
3,1,0.3333333333333333
1,1,1.0
18,0,0.0
28,2,0.07142857142857142
2,0,0.0
1,0,0.0
1,0,0.0
6,0,0.0
10,1,0.1
8,0,0.0
5,0,0.0
3,0,0.0
1,0,0.0
2,0,0.0
38,0,0.0
6,0,0.0
8,0,0.0
13,0,0.0
25,7,0.28
6,0,0.0
8,2,0.25
3,0,0.0
16,0,0.0
12,3,0.25
16,0,0.0
1,0,0.0
1,0,0.0
16,0,0.0
174,11,0.06321839080459771
15,3,0.2
1,0,0.0
19,4,0.21052631578947367
2,0,0.0
1,0,0.0
1,0,0.0
2,0,0.0
21,3,0.14285714285714285
69,7,0.10144927536231885
18,0,0.0
1,0,0.0
11,2,0.18181818181818182
1,0,0.0
11,0,0.0
13,0,0.0
42,2,0.047619047619047616
16,1,0.0625
8,0,0.0
12,3,0.25
48,5,0.10416666666666667
2,0,0.0
4,0,0.0
1,0,0.0
1,0,0.0
1,0,0.0
2,0,0.0
8,0,0.0
1,0,0.0
103,5,0.04854368932038835
1,0,0.0
16,3,0.1875
22,0,0.0
1,0,0.0
1,0,0.0
12,0,0.0
30,3,0.1
10,2,0.2
3,0,0.0
5,1,0.2
2,0,0.0
24,3,0.125
13,0,0.0
3,0,0.0
1,0,0.0
1,0,0.0
69,4,0.057971014492753624
41,1,0.024390243902439025
1,0,0.0
30,0,0.0
23,3,0.13043478260869565
3,0,0.0
1,0,0.0
14,3,0.21428571428571427
33,3,0.09090909090909091
1,0,0.0
9,0,0.0
2,0,0.0
41,0,0.0
14,0,0.0
40,8,0.2
101,6,0.0594059405940594
20,1,0.05
1,0,0.0
1,0,0.0
8,0,0.0
5,1,0.2
1,0,0.0
3,0,0.0
7,0,0.0
29,8,0.27586206896551724
2,0,0.0
11,0,0.0
11,0,0.0
1,0,0.0
8,0,0.0
27,0,0.0
1,0,0.0
1,0,0.0
5,0,0.0
30,0,0.0
42,0,0.0
11,1,0.09090909090909091
11,0,0.0
13,0,0.0
2,0,0.0
5,0,0.0
17,0,0.0
3,0,0.0
1,0,0.0
1,0,0.0
32,0,0.0
21,0,0.0
5,0,0.0
11,0,0.0
1,0,0.0
20,0,0.0
5,0,0.0
2,0,0.0
54,10,0.18518518518518517
5,0,0.0
6,0,0.0
29,0,0.0
114,5,0.043859649122807015
21,0,0.0
9,1,0.1111111111111111
18,0,0.0
37,0,0.0
97,8,0.08247422680412371
6,0,0.0
21,1,0.047619047619047616
11,0,0.0
2,0,0.0
7,2,0.2857142857142857
9,0,0.0
19,1,0.05263157894736842
9,0,0.0
1,0,0.0
1,0,0.0
6,0,0.0
7,0,0.0
4,0,0.0
1,0,0.0
12,0,0.0
3,0,0.0
21,0,0.0
1,0,0.0
1,0,0.0
10,1,0.1
2,0,0.0
8,0,0.0
1,0,0.0
1,0,0.0
3,0,0.0
3,0,0.0
3,0,0.0
2,0,0.0
2,0,0.0
144,4,0.027777777777777776
1,0,0.0
5,0,0.0
21,2,0.09523809523809523
37,2,0.05405405405405406
98,3,0.030612244897959183
13,1,0.07692307692307693
26,1,0.038461538461538464
