position_decile,n_sentences,uncertainty_rate,mean_uncertainty_count,cat_epistemic_hedge_rate,cat_evidential_marker_rate,cat_explicit_uncertainty_rate,cat_probability_language_rate,cat_modal_hedge_rate,cat_approximator_rate
1,25864,0.02443550881534179,0.026716671821837304,0.007771419733993195,0.0012372409526755336,0.0007732755954222085,0.007539437055366533,0.007694092174450974,0.0009665944942777606
2,19178,0.05991239962456982,0.06585671081447492,0.02403796016268641,0.0009907185316508499,0.0017728647408488893,0.01428720408801752,0.020909375325894253,0.002085723224528105
3,19950,0.06892230576441102,0.07684210526315789,0.028220551378446115,0.0014035087719298245,0.0014035087719298245,0.014285714285714285,0.02611528822055138,0.002055137844611529
4,19443,0.06351900426888854,0.06984518849971712,0.026024790413002107,0.000977215450290593,0.0015429717636167258,0.01100653191379931,0.025870493236640438,0.0015429717636167258
5,18536,0.06306646525679759,0.0691627104013811,0.024331031506258094,0.00043159257660768235,0.0015645230902028486,0.009818731117824773,0.02751402675873975,0.002697453603798015
6,21046,0.058490924641261995,0.06500047514967215,0.022569609426969495,0.001758053786942887,0.0014254490164401787,0.008742753967499763,0.02556305236149387,0.002518293262377649
7,20176,0.059030531324345756,0.06661379857256146,0.02136201427438541,0.0009912767644726407,0.0010904044409199049,0.00852498017446471,0.027160983346550358,0.0034694686756542425
8,19217,0.05562782952594057,0.06161211427382005,0.02149138783368892,0.0010407451735442578,0.0008325961388354062,0.007597439766873081,0.02487380964770776,0.0033303845553416247
9,19911,0.05780724222791422,0.06348249711214907,0.02671889910099945,0.0011049168801165186,0.0008035759128120134,0.00718195972075737,0.023404148460649893,0.0018080458038270302
10,24835,0.04280249647674653,0.047312260922085764,0.019287296154620496,0.0008455808335011073,0.0003623917857861888,0.007127038453795047,0.015985504328568552,0.0014898328971209985
