position_decile,model_family,n_sentences,uncertainty_rate,mean_uncertainty_count
1,claude-haiku,1,0.0,0.0
1,claude-opus,4195,0.015017878426698451,0.01692491060786651
1,claude-sonnet,215,0.03255813953488372,0.037209302325581395
1,deepseek,2361,0.018636171113934775,0.019483269800931808
1,gemini,2779,0.012954300107952501,0.014753508456279237
1,glm,10183,0.021015417853284885,0.022881272709417658
1,gpt,2550,0.036470588235294116,0.0407843137254902
1,minimax,3100,0.05064516129032258,0.05419354838709677
1,other,248,0.036290322580645164,0.04435483870967742
1,qwen,232,0.03879310344827586,0.03879310344827586
2,claude-opus,3170,0.03690851735015773,0.04195583596214511
2,claude-sonnet,164,0.024390243902439025,0.024390243902439025
2,deepseek,1867,0.040707016604177824,0.04284949116229245
2,gemini,1398,0.031473533619456366,0.033619456366237484
2,glm,8038,0.06046280169196318,0.06643443642697189
2,gpt,2187,0.07407407407407407,0.07773205304069501
2,minimax,2065,0.10799031476997578,0.1234866828087167
2,other,98,0.16326530612244897,0.17346938775510204
2,qwen,191,0.1099476439790576,0.12041884816753927
3,claude-opus,3333,0.0348034803480348,0.04200420042004201
3,claude-sonnet,181,0.03867403314917127,0.049723756906077346
3,deepseek,1959,0.05972434915773354,0.0638080653394589
3,gemini,1413,0.03043170559094126,0.03113941967445152
3,glm,8209,0.07674503593616762,0.08344499939091242
3,gpt,2270,0.05418502202643172,0.05947136563876652
3,minimax,2255,0.12815964523281598,0.15077605321507762
3,other,128,0.1328125,0.1484375
3,qwen,202,0.16336633663366337,0.1782178217821782
4,claude-opus,3195,0.03630672926447574,0.04162754303599374
4,claude-sonnet,160,0.04375,0.05625
4,deepseek,1885,0.06472148541114059,0.06790450928381962
4,gemini,1417,0.038108680310515175,0.04163726182074806
4,glm,8127,0.06509166974283254,0.06952134859111603
4,gpt,2189,0.0379168570123344,0.03928734582000914
4,minimax,2178,0.1184573002754821,0.1418732782369146
4,other,98,0.3163265306122449,0.32653061224489793
4,qwen,194,0.18041237113402062,0.19072164948453607
5,claude-opus,2971,0.04173678895994615,0.04880511612251767
5,claude-sonnet,159,0.050314465408805034,0.050314465408805034
5,deepseek,1789,0.08272778088317496,0.08608160983789827
5,gemini,1341,0.030574198359433258,0.03131991051454139
5,glm,7799,0.055776381587382996,0.05949480702654186
5,gpt,2148,0.03026070763500931,0.031191806331471134
5,minimax,2051,0.13749390541199416,0.16284739151633348
5,other,100,0.35,0.37
5,qwen,178,0.17415730337078653,0.17415730337078653
6,claude-haiku,1,0.0,0.0
6,claude-opus,3535,0.042715700141442714,0.047524752475247525
6,claude-sonnet,190,0.05789473684210526,0.05789473684210526
6,deepseek,2049,0.07125427037579307,0.07662274280136652
6,gemini,1469,0.027910142954390742,0.02859087814840027
6,glm,8717,0.045887346564184923,0.050017207754961567
6,gpt,2318,0.023295944779982744,0.02631578947368421
6,minimax,2430,0.13950617283950617,0.1633744855967078
6,other,128,0.3203125,0.34375
6,qwen,209,0.22966507177033493,0.24880382775119617
7,claude-opus,3375,0.05037037037037037,0.05925925925925926
7,claude-sonnet,172,0.05813953488372093,0.06395348837209303
7,deepseek,1961,0.06578276389597144,0.06986231514533402
7,gemini,1451,0.015161957270847692,0.015851137146795313
7,glm,8304,0.04419556840077071,0.04985549132947977
7,gpt,2261,0.030959752321981424,0.03184431667403804
7,minimax,2321,0.15295131408875484,0.1788022404136148
7,other,129,0.34108527131782945,0.3488372093023256
7,qwen,202,0.1188118811881188,0.13366336633663367
8,claude-opus,3153,0.040279099270535995,0.04820805581985411
8,claude-sonnet,169,0.09467455621301775,0.13609467455621302
8,deepseek,1883,0.05735528412108338,0.057886351566648966
8,gemini,1379,0.013778100072516316,0.013778100072516316
8,glm,8032,0.04220617529880478,0.046812749003984064
8,gpt,2198,0.04185623293903549,0.04367606915377616
8,minimax,2112,0.14962121212121213,0.16714015151515152
8,other,97,0.26804123711340205,0.29896907216494845
8,qwen,194,0.13402061855670103,0.13917525773195877
9,claude-opus,3350,0.04955223880597015,0.056716417910447764
9,claude-sonnet,176,0.03977272727272727,0.045454545454545456
9,deepseek,1943,0.07050952135872363,0.07462686567164178
9,gemini,1432,0.030027932960893854,0.03212290502793296
9,glm,8215,0.03578819233110164,0.0382227632379793
9,gpt,2259,0.05887560867640549,0.06551571491810536
9,minimax,2208,0.14673913043478262,0.1644021739130435
9,other,129,0.20155038759689922,0.2248062015503876
9,qwen,199,0.10552763819095477,0.10552763819095477
10,claude-haiku,1,0.0,0.0
10,claude-opus,4310,0.04617169373549884,0.054524361948955914
10,claude-sonnet,222,0.07207207207207207,0.1036036036036036
10,deepseek,2400,0.043333333333333335,0.04375
10,gemini,1643,0.02251978088861838,0.023737066342057214
10,glm,10111,0.028187122935416874,0.030461873207397884
10,gpt,2586,0.03596287703016241,0.03982985305491106
10,minimax,3135,0.0912280701754386,0.09920255183413078
10,other,190,0.07368421052631578,0.07894736842105263
10,qwen,237,0.12236286919831224,0.1518987341772152
